objid,fieldid,fieldmjd,astrangekm,astrangeratekms,astradeg,astraratedegday,astdecdeg,astdecratedegday,astsunj2000xkm,astsunj2000ykm,astsunj2000zkm,astsunj2000vxkms,astsunj2000vykms,astsunj2000vzkms,obssunj2000xkm,obssunj2000ykm,obssunj2000zkm,obssunj2000vxkms,obssunj2000vykms,obssunj2000vzkms,sunastobsdeg,v,vh0,fivesigmadepth,filter,maginfiltertrue,astrometricsigmamas,photometricsigmamag,snr,astrometricsigmadeg,maginfilter,dmagdetect,dmagvignet,astratruedeg,astdectruedeg,detector,obscode,na
S100001ha,222952.0,60601.02159829434,424100937.81999874,23.44204758518795,300.2419512830576,0.18351177753532263,-32.20013495789361,0.15307472091916166,316066507.7219191,-252706588.55078685,-201147748.53915188,12.276202041821367,8.552236995178207,9.311714293750876,135320271.6891283,57324153.21598701,24846404.477394752,-12.728038073282287,25.02521716386324,10.705751937094258,19.254876181845585,11.46911960141578,5.63911960141578,23.327981376190664,i,11.17811960141578,10.000113119829134,0.00012759784210869014,8508.548335493444,2.777809199952537e-06,11.177990700946518,0.03596687030099477,0.07871853537370649,300.2419513545606,-32.200130872632386,10.0,I11,NA
S1001A3ya,222952.0,60601.02159829434,453395909.848895,24.077985671350177,300.05626361559587,0.17540974745784998,-29.8545859910913,0.033512468077671304,332267855.02065796,-283026724.1456439,-200854276.4900157,10.557060439341926,12.607720436455905,1.3818602889511642,135320271.6891283,57324153.21598701,24846404.477394752,-12.728038073282287,25.02521716386324,10.705751937094258,18.067233938308647,19.898648009814817,5.8786480098148175,23.327981376190664,i,19.607648009814817,10.586284972773129,0.009280453779561472,116.49242741978313,2.9406347146592027e-06,19.622735726446933,0.018661182412256644,0.0026314046421432175,300.05626646991226,-29.854583583224578,131.0,I11,NA
S100001ha,223002.0,60601.04604011051,424150492.4123618,23.489069626594166,300.24644427948317,0.1840161995718199,-32.19638626103264,0.1534136247837893,316092429.2306483,-252688528.77161887,-201128085.20751044,12.2752427481877,8.553004672181796,9.312325165306941,135293326.31696337,57377031.622364566,24869010.523918923,-12.791995314260607,25.053065862942088,10.703793041441406,19.25497558979418,11.469373053249853,5.639373053249853,23.016497110428716,z,11.171373053249853,10.000134964556196,0.00014683341033624206,7393.840320271774,2.7778152679322766e-06,11.171264083850598,0.039968446601555116,0.07792065478925808,300.24644264425376,-32.1963852496273,10.0,I11,NA
S1001A3ya,223002.0,60601.04604011051,453446807.93635625,24.125497017794455,300.06055418977854,0.1758840020537462,-29.8537588546072,0.03383340021250305,332290146.4565641,-283000100.88846195,-200851358.01363733,10.556221397461123,12.608435886696236,1.3823678467884422,135293326.31696337,57377031.622364566,24869010.523918923,-12.791995314260607,25.053065862942088,10.703793041441406,18.067397429671708,19.898890415026727,5.878890415026728,23.016497110428716,z,19.60089041502673,10.816890071928924,0.011593030761914598,93.15510559679825,3.004691686646923e-06,19.587106663753108,0.0207958460511602,0.0026198513975558965,300.06055938347464,-29.853760505449046,131.0,I11,NA
S1001yY0a,223034.0,60601.060993829204,398752867.4915918,22.587281981684598,309.4925002549493,0.16237566361076913,-37.053929672536434,0.06357422378957821,337665198.77044815,-188172911.17546275,-215392235.426342,8.649266794643161,15.413419587644325,1.1792025371453099,135276772.4737646,57409408.90613302,24882839.06715347,-12.833371728047982,25.0659765623369,10.70259927478434,19.527810803827055,20.438461829894848,5.4684618298948475,23.16109065777662,z,20.14046182989485,11.18175525779235,0.015671803757158726,68.78079705632716,3.1060431271645415e-06,20.122028891174804,0.022087662903663582,0.06988953029283242,309.49249476673947,-37.0539227230335,178.0,I11,NA
S1001yY0a,223035.0,60601.06145101429,398753759.7230548,22.5881131599134,309.4925698563763,0.16238674186302535,-37.053891191266025,0.06358247551579958,337665540.3970064,-188172302.37916014,-215392188.85018533,8.649246376269053,15.413430976259725,1.1792155667735211,135276265.52026406,57410399.038311444,24883261.82735198,-12.834659419220642,25.066319793948665,10.70256282361877,19.527826843645116,20.438467100203773,5.468467100203773,23.168736550925114,z,20.140467100203775,11.138573696131044,0.015578659099722992,69.19501195478033,3.09404824892529e-06,20.14684251000656,0.022688691167182543,0.0645653991450741,309.49256900496295,-37.05389365597519,22.0,I11,NA
S1001yY0a,223084.0,60601.085038206504,398799835.228219,22.629117889975074,309.49640483732696,0.1630181742120783,-37.05238730595908,0.0639904503567294,337683164.58261615,-188140892.6032597,-215389785.18367553,8.648192876993628,15.414018469126011,1.1798877929141196,135250040.59229487,57461497.65134957,24905071.0236827,-12.902574099880166,25.079749158775606,10.70068512302839,19.52864740805772,20.438739005138913,5.468739005138913,22.470659834132523,y,20.135739005138912,13.178802856490256,0.027230407212011015,39.3742886053104,3.6607785712472934e-06,20.190398579276444,0.023081466845035824,0.07005541166009092,309.4964064719544,-37.052389041121415,177.0,I11,NA
S1001yY0a,223085.0,60601.08548740063,398800713.4870952,22.62986006563835,309.49648282866633,0.16303130160757134,-37.052356358723145,0.06399785428017812,337683500.1964688,-188140294.42441756,-215389739.39500028,8.648172812842231,15.414029655968484,1.1799005947470587,135249539.81304172,57462471.009095274,24905486.320553504,-12.903891413637519,25.079922108626683,10.700649409173751,19.528662896175,20.43874418291301,5.468744182913008,22.448941337750167,y,20.135744182913008,13.318213414832398,0.027724680335814055,38.66348854664478,3.6995037263423327e-06,20.14234092606288,0.02280509239684491,0.0645526604322978,309.4964797017059,-37.0523602953244,22.0,I11,NA
S100001ha,223130.0,60601.10582804442,424272088.71192884,23.584011269819825,300.2574941014651,0.1856909116448622,-32.187193383754625,0.1540936189880337,316155828.13560295,-252644345.32790428,-201079980.65729102,12.272895519923635,8.554882075975383,9.313819156829794,135226809.29398882,57506552.17903085,24924290.559829496,-12.964175041735032,25.084436991746948,10.69903322798477,19.255159674064192,11.469992948077302,5.6399929480773014,22.212197930933407,y,11.1669929480773,10.000254571940408,0.00021230685573034856,5113.495044968379,2.777848492205669e-06,11.16712913534889,0.044710375168335204,0.4562889141717816,300.25749181668164,-32.18719142872751,158.0,I11,NA
S100001ha,223131.0,60601.10627189201,424272993.1323134,23.584585333465615,300.25757339009436,0.18570534236096006,-32.187126618977615,0.15409770078948185,316156298.7442919,-252644017.287307,-201079623.51500636,12.272878091226605,8.554896010901041,9.313830246259984,135226312.11304504,57507514.1278456,24924700.850083094,-12.96550102978401,25.08446261134639,10.6989979765144,19.255160680642295,11.469997546590092,5.639997546590092,22.28690487399406,y,11.16699754659009,10.000218313309203,0.0002051178783244812,5292.730491928308,2.7778384203636676e-06,11.167001588218522,0.0484953826070523,0.07595502322784106,300.2575742383034,-32.18712303377572,11.0,I11,NA
S1001A3ya,223131.0,60601.10627189201,453572622.58928627,24.221598953494905,300.0711941395227,0.1774591381191284,-29.85170145008472,0.03449187959349861,332345071.4954529,-282934486.9664495,-200844161.46154174,10.554153159885066,12.610198467978739,1.3836185496060474,135226312.11304504,57507514.1278456,24924700.850083094,-12.96550102978401,25.08446261134639,10.6989979765144,18.067743789085632,19.899487651495804,5.879487651495804,22.28690487399406,y,19.596487651495803,11.993891190753176,0.020366163638917797,52.81234980778717,3.3316364418758824e-06,19.58290814718312,0.025454363673104285,0.002592208133013116,300.07119798640736,-29.85170174417512,128.0,I11,NA
S10002iya,223222.0,60601.14782038367,362061856.9762805,16.708351799110126,347.96635889069,-0.12079315623744584,-18.862155572133215,0.06078936864826118,470269444.07966065,-13833684.198911496,-92088760.4037178,2.036763131211992,13.301130563893857,9.501832443979842,135179545.31439945,57597549.644108236,24963102.07890374,-13.089807173011893,25.072951101013793,10.695696520354716,12.66441334963899,16.917864626754227,5.197864626754226,22.572511609230524,y,16.614864626754226,10.021543151445417,0.0023780295639420235,456.06986576629885,2.783761986512616e-06,16.61486754256037,0.023424957567585777,0.07061558141170907,347.96635739090146,-18.86215457159647,179.0,I11,NA
S10002iya,223223.0,60601.14827478786,362062512.9774376,16.709520462654403,347.9663007279983,-0.12078475352305117,-18.86212603284541,0.06079518210022887,470269524.03910255,-13833162.018992124,-92088387.37774904,2.036740895437136,13.301131219497478,9.501836799230238,135179031.37558874,57598534.01521653,24963521.996566325,-13.091155093550142,25.07267346379064,10.695660363484365,12.664515845139983,16.917872314951385,5.197872314951384,22.568901336542627,y,16.614872314951384,10.021447078475841,0.0023825425271945836,455.20504117075666,2.7837352995766223e-06,16.6151422807164,0.023613706801342733,0.06567215743665283,347.9663025039266,-18.862126947348187,22.0,I11,NA
S1001c3ma,223223.0,60601.14827478786,431416424.21982545,17.73811489702434,349.7185402173614,-0.10352666000140501,-17.166425825194228,-0.019032631149605836,540757777.8118186,-15972072.185733147,-102368303.55679,1.5644388536078933,13.654072260546625,3.875739737813289,135179031.37558874,57598534.01521653,24963521.996566325,-13.091155093550142,25.07267346379064,10.695660363484365,10.536890574982602,19.96783425763921,5.797834257639211,22.568901336542627,y,19.561834257639212,10.918502561470305,0.015838693233289503,68.0508231794645,3.032917378186196e-06,19.559466363306328,0.014420745015638878,0.027323318170982665,349.7185380837692,-17.166429829998428,152.0,I11,NA
S1004ydHa,223225.0,60601.14920223569,345450282.9869147,18.443637552976316,341.09496262986835,-0.06283266228395441,-22.100643190642398,0.0057906382491824115,437980649.97428584,-46101705.05266236,-105005990.84943599,1.9004723500541567,15.643784207455514,4.131102185746046,135177982.25161734,57600543.10294716,24964379.05283885,-13.093904532968244,25.07209670332031,10.695586561008705,15.030645504320638,20.25654774085582,5.0565477408558195,22.522906236930247,y,19.953547740855818,11.928571012312856,0.022463752251211593,47.83453126479546,3.313491947864682e-06,19.940741470160866,0.00451550528397124,0.025570517946847726,341.09496679736543,-22.10064227384028,69.0,I11,NA
S1001cpga,223226.0,60601.14965278401,382767742.2106307,18.05378745735631,342.52356728749,-0.08019397204829241,-16.936313811381083,0.029101116814272274,484442218.3507079,-52363295.20286539,-86538723.91238913,2.2223020628076338,14.031195978468878,7.589329946207355,135177472.513893,57601519.08910435,24964795.403584767,-13.095239354763342,25.071811628238553,10.695550705466687,12.954824115785403,19.348372379555446,5.398372379555447,22.540453747162235,y,18.942372379555447,10.401330956376938,0.010135686649287004,106.62092108791445,2.8892585989935938e-06,18.93284054829448,0.009192474308469195,0.062226225697241844,342.5235700163609,-16.936313100423682,177.0,I11,NA
S1003RN3a,223226.0,60601.14965278401,396140075.25982475,18.674853340415872,343.10688753106496,-0.07004461185831025,-17.144218516413424,-0.024802943131025056,497380918.29692537,-52396768.75947591,-91808549.43667951,1.8636504207814741,14.93224754403695,3.2942196420037813,135177472.513893,57601519.08910435,24964795.403584767,-13.095239354763342,25.071811628238553,10.695550705466687,12.527629440114973,20.896043554496018,5.516043554496017,22.540453747162235,y,20.593043554496017,14.694947484159686,0.03765886182281867,28.333719345524965,4.081929856711024e-06,20.612988663699415,0.006971935666164246,0.08892401166965039,343.10688462111005,-17.144219915739612,179.0,I11,NA
S10001w1a,223227.0,60601.15010336809,414766546.0565803,18.20896979616624,342.6646343238169,-0.07826053014766252,-14.24929523508182,-0.014591166569713106,518922504.8288353,-62180827.84054568,-77126011.61026755,1.5697072560963834,13.83666903489405,5.028927203321619,135176962.68465048,57602495.139849216,24965211.785248607,-13.096573718761334,25.071523336270452,10.695514845323714,11.841060719979588,15.493039124044142,5.673039124044141,22.51889994302157,y,15.19003912404414,10.005718015710595,0.001200623710243468,903.8102398644098,2.7793661154751656e-06,15.191013925987663,0.008123341603524625,0.05759985392575709,342.664634735162,-14.249297016680607,121.0,I11,NA
S1001cpga,223227.0,60601.15010336809,382768445.07386357,18.054895311328874,342.5235331260292,-0.08018458687880882,-16.936296303083406,0.029105905277588127,484442304.86026525,-52362748.99525941,-86538428.4742508,2.2222814160449746,14.031198212005345,7.589333635408873,135176962.68465048,57602495.139849216,24965211.785248607,-13.096573718761334,25.071523336270452,10.695514845323714,12.954919464795594,19.34837975716807,5.398379757168069,22.51889994302157,y,18.94237975716807,10.41553915135239,0.010296102847284935,104.95197123589412,2.8932053198201083e-06,18.94776285047503,0.009155226442457219,0.06075510726031014,342.5235338843816,-16.936299986856927,11.0,I11,NA
S1003RN3a,223227.0,60601.15010336809,396140802.30152154,18.6759664853537,343.10685555972,-0.07003573410781337,-17.14423300320983,-0.024798046461964107,497380990.844733,-52396187.476868205,-91808421.19921932,1.8636308786497495,14.93224960468184,3.2942232497538875,135176962.68465048,57602495.139849216,24965211.785248607,-13.096573718761334,25.071523336270452,10.695514845323714,12.527723924843727,20.896050996703092,5.5160509967030915,22.51889994302157,y,20.59305099670309,14.859218366276632,0.0383514157401535,27.81314234201172,4.1275606572990645e-06,20.570480927366752,0.006942884816352088,0.0579832731016815,343.10685306215186,-17.14423109043691,22.0,I11,NA
S1004XYqa,223227.0,60601.15010336809,414068911.66472155,18.948422438438282,344.23453712112945,-0.08372486761262761,-15.356143171416473,-0.006934706200914881,519442599.4013199,-50883613.807258815,-84687712.32970074,2.505520604344233,13.650586139480033,5.118614226857348,135176962.68465048,57602495.139849216,24965211.785248607,-13.096573718761334,25.071523336270452,10.695514845323714,11.676287371064385,20.63501555629886,5.66501555629886,22.51889994302157,y,20.22901555629886,12.845510220832182,0.028265871869711294,37.913728452428444,3.568197283564495e-06,20.3045414637073,0.008933039567148577,0.003826666606279211,344.2345338785115,-15.356141266989004,147.0,I11,NA
S10015xUa,223228.0,60601.15055366608,371369375.5295642,19.829743948331885,343.3026591023036,-0.08153929912003137,-13.531955149584928,0.011992886524819458,481012676.725277,-46134897.252713375,-61930189.77285291,3.8616414029939947,13.776007867367618,6.930739264469669,135176453.1265425,57603470.560905784,24965627.90170347,-13.09790666738638,25.07123203671425,10.69547900606298,12.664765083075192,18.957914237776645,5.287914237776645,22.42690179251599,y,18.654914237776644,10.353429844539725,0.008945229974360853,120.87668337265458,2.875952734594368e-06,18.653186672672653,0.007783754866533501,0.08951198680420604,343.3026562833093,-13.53195035246265,1.0,I11,NA
S1004itRa,223228.0,60601.15055366608,382448030.7920019,17.21082946975891,344.5313671282245,-0.09514051001466886,-14.012662754364914,0.021797215569826986,492802376.4281849,-41364191.10671053,-67638964.1711827,1.4869009783787122,13.636359674757072,8.162448325443183,135176453.1265425,57603470.560905784,24965627.90170347,-13.09790666738638,25.07123203671425,10.69547900606298,12.182123893008692,21.076466306771515,5.386466306771515,22.42690179251599,y,20.773466306771514,17.82920160171596,0.048341085202344716,21.96361567929609,4.952556000476655e-06,20.88804729586771,0.010860724250186637,0.021127089615896873,344.531363875527,-14.012666547906496,24.0,I11,NA
S1008eaSa,223228.0,60601.15055366608,333030829.4978758,17.768624706087753,344.4295358999956,-0.08552478718445489,-13.193522172565858,0.03401475457448712,447517581.8844942,-29430180.67870265,-51045596.95276397,2.5664686659256173,14.892142537977758,8.868391709104904,135176453.1265425,57603470.560905784,24965627.90170347,-13.09790666738638,25.07123203671425,10.69547900606298,13.418720519337908,20.89320754135396,4.913207541353959,22.42690179251599,y,20.48720754135396,15.253602542723211,0.03790517956919075,28.146388001243817,4.237111817423115e-06,20.503995275557635,0.009777441028484346,-0.0,344.4295401705727,-13.193522061625632,52.0,I11,NA
S100krCJa,223228.0,60601.15055366608,414969487.1938762,18.30873814707089,344.23893502196705,-0.07932776368963977,-11.604587800466199,-0.026279500832485397,526380841.46313524,-52809087.31878709,-58508227.47589428,1.9666261087912413,14.05206122264549,4.85497064558098,135176453.1265425,57603470.560905784,24965627.90170347,-13.09790666738638,25.07123203671425,10.69547900606298,11.231290380379123,22.50697215449073,5.666972154490729,22.42690179251599,y,22.203972154490728,53.890679802359124,0.1642664453365988,6.12220741628325,1.4969633278433091e-05,21.904266489889178,0.008144666741246547,0.034778521328689,344.2389430261712,-11.604601949354333,118.0,I11,NA
S10001w1a,223229.0,60601.15100067656,414767957.8391108,18.21121242607873,342.6645667090614,-0.07824348536355086,-14.249309542411018,-0.014583325392903934,518922626.5154894,-62179755.183440804,-77125621.75368275,1.5696710511735514,13.836673377063983,5.028932585866739,135175947.23732373,57604438.849358566,24966040.978805,-13.099229311993692,25.070939711083348,10.695443426617597,11.841248794939233,15.493053379166376,5.673053379166376,22.41992307034673,y,15.190053379166375,10.00725064131048,0.001259205638888899,861.7390917938503,2.7797918448084664e-06,15.190071806629192,0.007050521867364873,0.023686231669684178,342.66456451893623,-14.249310105943424,111.0,I11,NA
S1000fama,223229.0,60601.15100067656,377977034.944525,18.00531645057143,342.80392317403573,-0.08144120349543031,-13.066454817337917,0.01396946276583759,486907973.0401685,-51248412.31925534,-60487401.50564504,2.095566313081722,14.028625613570227,7.664244360036308,135175947.23732373,57604438.849358566,24966040.978805,-13.099229311993692,25.070939711083348,10.695443426617597,12.549790258418765,20.38918064770683,5.349180647706831,22.41992307034673,y,19.98318064770683,12.594583736947307,0.02503718890446613,42.866862063522035,3.4984954824853634e-06,19.994855851557503,0.007666642948490032,0.01183666364768658,342.803924984049,-13.066454887114633,151.0,I11,NA
S10015xUa,223229.0,60601.15100067656,371370141.4100877,19.830868374514736,343.3026240532572,-0.08152996775164652,-13.53193661251094,0.011996969165178561,481012825.85823077,-46134365.23475705,-61929922.11343872,3.86162008327337,13.776009913836237,6.93074201020091,135175947.23732373,57604438.849358566,24966040.978805,-13.099229311993692,25.070939711083348,10.695443426617597,12.664865433846563,18.95792270811572,5.287922708115721,22.41992307034673,y,18.65492270811572,10.365644217262671,0.008989713601778249,120.27608426957545,2.8793456159062974e-06,18.663651655320017,0.00759430463826742,0.05478536827409776,343.3026198364595,-13.531944990601927,159.0,I11,NA
S1000CnBa,223230.0,60601.15145026646,373429788.23883003,17.79605409439632,340.0850901956004,-0.07116922280024644,-16.112299608493903,-0.02494304213721361,472482671.9379802,-64597395.192015454,-78668111.08281767,0.7262832434701523,14.576387899895789,3.949197423576911,135175438.3776141,57605412.7133779,24966456.43797173,-13.10055900398932,25.07064253189748,10.695407640009211,13.610909575370153,19.287256549220984,5.317256549220984,22.469414224584767,y,18.881256549220986,10.437158244053114,0.010209147779123028,105.85013107179599,2.899210623348087e-06,18.872350832187298,0.006741234773466657,-0.0,340.0850897857675,-16.112298636974508,94.0,I11,NA
S1002Cc0a,223231.0,60601.15189974042,428666241.37705946,19.308159014133217,337.0835574273226,-0.05183839196842052,-17.93913499697917,-0.028855703834282858,510813064.7517492,-101196394.29274023,-107065063.33474648,1.4460505450187053,14.284531517458932,2.371262137851003,135174929.59741148,57606386.31484351,24966871.788690135,-13.101887758657506,25.07034225623663,10.695371860726397,12.960927885973303,20.630036648507858,5.800036648507858,22.48410123021641,y,20.327036648507857,13.686166005987728,0.03157329144121698,33.89022879547122,3.8017127794410355e-06,20.32111501227125,0.00415797722941961,0.07244072254538532,337.0835617853321,-17.93912573269171,75.0,I11,NA
S1000uuCa,223232.0,60601.152348468786,417513213.62736225,22.002681640369314,335.6850519788715,-0.029078589257835588,-17.285772534411954,-0.036725406151370876,498468071.32721823,-106540122.28281556,-99091685.31779706,4.239512109473845,14.665606878874451,1.200068924743912,135174421.60976228,57607358.28950921,24967286.448997594,-13.103213706977495,25.070039315637402,10.69533613888497,13.43153576784809,20.918852343241653,5.708852343241652,22.427375568898753,y,20.512852343241654,15.517573302511323,0.038720542066311314,27.543287061450627,4.310437028475367e-06,20.51212513803482,0.0025384042927559776,0.13912939335317293,335.68505345859614,-17.285774947094257,170.0,I11,NA
S10003xDa,223233.0,60601.152796848335,411479773.50873524,17.779058521119783,336.5167532687331,-0.10630326362311637,-15.40679810235173,0.07136030945642269,499011273.1883498,-100466188.42063756,-84350379.65380225,0.6668988770663082,9.799355802307494,11.691022173464612,135173913.96613732,57608329.49590807,24967700.785197347,-13.104538013533018,25.069733455771814,10.69530044291483,13.245935476050581,18.86664450619878,5.656644506198781,22.424198615076666,y,18.56364450619878,10.316960291016606,0.008403748177333794,128.69730605391436,2.8658223030601684e-06,18.564761062121764,0.018419978811210984,0.013531178412491754,336.5167516781259,-15.406803370326076,129.0,I11,NA
